source_url	parsed_url
https://www.douban.com/	https://music.douban.com/subject/35398647/
https://www.douban.com/	https://www.douban.com/about
https://www.douban.com/	https://www.douban.com/group/explore?tag=GAY
https://www.douban.com/	https://www.douban.com/group/20618/
https://www.douban.com/	https://music.douban.com/subject/35585156/
https://www.douban.com/	https://www.douban.com/group/explore/travel
https://www.douban.com/	https://www.douban.com/gallery/topic/19125/?from=hot_topic_anony_sns
https://www.douban.com/	https://www.douban.com/group/explore?tag=情感
https://www.douban.com/	https://movie.douban.com/subject/30435124/
https://www.douban.com/	https://www.douban.com/group/explore?tag=游戏
https://www.douban.com/	https://www.douban.com/group/explore?tag=建筑
https://www.douban.com/	https://www.douban.com/gallery/topic/761/?index=2&amp;r=topic?dcm=douban&dcs=anonymous-home-topic
https://www.douban.com/	https://douban.fm/app?from_=shire_anonymous_home
https://www.douban.com/	https://www.douban.com/group/explore?tag=软件
https://www.douban.com/	https://book.douban.com/writers/
https://www.douban.com/	https://www.douban.com/photos/album/1884858085/
https://www.douban.com/	https://www.douban.com/location/shanghai/events/week-1002
https://www.douban.com/	https://www.douban.com/group/explore?tag=硬件
https://www.douban.com/	https://movie.douban.com/tag/喜剧
https://www.douban.com/	http://www.12377.cn/
https://www.douban.com/	https://read.douban.com/ebook/165872095
https://www.douban.com/	https://book.douban.com/tag/诗歌
https://www.douban.com/	https://movie.douban.com/tag/悬疑
https://www.douban.com/	https://book.douban.com/tag/编程
https://www.douban.com/	https://movie.douban.com/tag/科幻
https://www.douban.com/	https://www.douban.com/doubanapp/
https://www.douban.com/	https://www.douban.com/group/83759/
https://www.douban.com/	https://music.douban.com/subject/35310445/
https://www.douban.com/	https://book.douban.com/tag/?view=type#经管
https://www.douban.com/	https://help.douban.com/?app=main
https://www.douban.com/	https://www.douban.com/location/
https://www.douban.com/	https://www.douban.com/location/shanghai/events/week-1403
https://www.douban.com/	https://m.douban.com/time/column/196?dt_time_source=douban-web_anonymous
https://www.douban.com/	https://www.douban.com/location/shanghai/events/week-commonweal
https://www.douban.com/	https://www.douban.com/group/echofans/
https://www.douban.com/	https://movie.douban.com/tag/动画
https://www.douban.com/	https://www.douban.com/group/topic/203421229?dcm=douban&dcs=anonymous-home-group
https://www.douban.com/	https://www.douban.com/group/topic/204293834?dcm=douban&dcs=anonymous-home-group
https://www.douban.com/	https://www.douban.com/group/explore?tag=心情
https://www.douban.com/	https://read.douban.com/reader/column/35458309/chapter/324007872/
https://www.douban.com/	https://market.douban.com?utm_campaign=anonymous_top_nav&utm_source=douban&utm_medium=pc_web
https://www.douban.com/	https://read.douban.com/reader/column/35835004/chapter/165872435/
https://www.douban.com/	https://movie.douban.com/subject/25828589/
https://www.douban.com/	https://www.douban.com/group/explore?tag=淘宝
https://www.douban.com/	https://www.douban.com/group/explore?tag=留学
https://www.douban.com/	https://music.douban.com/subject/35566666/
https://www.douban.com/	https://book.douban.com/tag/企业史
https://www.douban.com/	https://www.douban.com/group/explore?tag=直播
https://www.douban.com/	https://music.douban.com/chart
https://www.douban.com/	https://movie.douban.com/tag/
https://www.douban.com/	https://www.douban.com/group/explore?tag=创业
https://www.douban.com/	https://book.douban.com/tag/传记
https://www.douban.com/	https://m.douban.com/time/column/223?dt_time_source=douban-web_anonymous
https://www.douban.com/	https://movie.douban.com/subject/30174085/cinema/
https://www.douban.com/	https://movie.douban.com/tag/励志
https://www.douban.com/	https://book.douban.com/tag/股票
https://www.douban.com/	https://www.douban.com/group/402725/
https://www.douban.com/	https://music.douban.com#new1
https://www.douban.com/	https://www.douban.com/group/explore?tag=恋爱
https://www.douban.com/	https://movie.douban.com/tag/剧情
https://www.douban.com/	https://www.douban.com/group/explore/tech
https://www.douban.com/	https://book.douban.com/tag/算法
https://www.douban.com/	https://www.douban.com/location/shanghai/events/week-1404
https://www.douban.com/	https://movie.douban.com/tag/青春
https://www.douban.com/	https://www.douban.com/group/explore?tag=展览
https://www.douban.com/	https://read.douban.com/reader/ebook/329152300/
https://www.douban.com/	https://www.douban.com/location/shanghai/events/week-1004
https://www.douban.com/	https://www.douban.com/gallery/topic/9703/?from=hot_topic_anony_sns
